"Substitute","Wang (1997)","Wang (2009)","Hsiang (2016)","Huang (2024)","Rem."
"華林","72","","","",""
"華林園","48","","","",""
"房靈人","48","","","",""
"房真齡","48","","","",""
"房元齡","48","","","",""
"房內樂","48","","","",""
"放火","48","","","",""
"飛獸","48","","","",""
"香娘子","208","","","",""
"廢國","48","","","",""
"分兵","49","","","",""
"紛煙","49","","","",""
"分","49","","","",""
"風俗通","49","","","",""
"風土人俗","49","","","",""
"吳高","198","","","",""
"吳皋","198","","","",""
"彭陽","135","","","",""
"馮約","49","","","",""
"馮約","49","","","",""
"馮代強","49","","","",""
"奉尚","50","","","",""
"神","162","","","",""
"好女兒花","66","","","",""
"好兒女花","66","","","",""
"望賢門","192","","","",""
"卿","146","","","",""
"憲","208","","","",""
"扶縣","50","","","",""
"不","11","","","",""
"不皇","12","","","",""
"皇","74","","","",""
"不皇","12","","","",""
"伏獸","51","","","",""
"伏盛","51","","","",""
"苻健","50","","","",""
"孛星","7","","","",""
"寵","27","","","",""
"恩","45","","","",""
"復","52","","","",""
"複","52","","","",""
"馥","52","","","",""
"唐林","182","","","",""
"南臺","128","","","",""
"郡","92","","","",""
"膠西","83","","","",""
"漢阜","65","","","",""
"赴湯蹈伙","51","","","",""
"蓬","135","","","",""
"衣書享","230","","","",""
"蓬輦","135","","","",""
"傅武","51","","","",""
"富陽","52","","","",""
"富人","51","","","",""
"富人侯","51","","","",""
"富人渠","51","","","",""
"富義","52","","","",""
"富順","52","","","",""
"通津驛","186","","","",""
"潤","155","","","",""
"金輪藏","84","","","",""
"感德","53","","","",""
"感應元","53","","","",""
"墩","44","","","",""
"崑","97","","","",""
"崑山","97","","","",""
"姜","82","","","",""
"平","136","","","",""
"交","54","","","",""
"高季興","54","","","",""
"高穎","137","","","",""
"平居誨","54","","","",""
"高尚思玄崇古讓皇帝","78","","","",""
"濟減","54","","","",""
"高祐","249","","","",""
"遠祖","256","","","",""
"長祖","63","","","",""
"果","54","","","",""
"槀平","227","","","",""
"陽邑","54","","","",""
"隔代","55","","","",""
"葛師仲","55","","","",""
"給事郎","55","","","",""
"庚午元法考","55","","","",""
"公山不狃","55","","","",""
"公帥","55","","","",""
"公帥蕃","55","","","",""
"公孫臣","55","","","",""
"公孫宏","55","","","",""
"公孫泉","56","","","",""
"公孫文懿","55","","","",""
"公端","56","","","",""
"公子開","185","","","",""
"亭","23","","","",""
"承","23","","","",""
"承奉官","165","","","",""
"知事","56","","","",""
"宮架","265","","","",""
"知宮觀事","207","","","",""
"賢","89","","","",""
"敬","145","","","",""
"欽","56","","","",""
"恭謹","145","","","",""
"欽","21","","","",""
"辰維","228","","","",""
"仰維","56","","","",""
"龔頤正","56","","","",""
"龔縣","131","","","",""
"寧陽","67","","","",""
"河平","57","","","",""
"共理","59","","","",""
"管","57","","","",""
"勾（勾龍）","57","","","",""
"勾","57","","","",""
"句龍","57","","","",""
"鉤","57","","","",""
"苟","148","","","",""
"鉤","53","","","",""
"幹辦公事","57","","","",""
"","57","","","",""
"","233","","","",""
"","78","","","",""
"","78","","","",""
"","3","","","",""
"","113","","","",""
"","198","","","",""
"","221","","","",""
"","221","","","",""
"","53","","","",""
"","53","","","",""
"","59","","","",""
"","53","","","",""
"","58","","","",""
"","243","","","",""
"","57","","","",""
"","243","","","",""
"","28","","","",""
"","31","","","",""
"","57","","","",""
"","77","","","",""
"","253","","","",""
"","58","","","",""
"","80","","","",""
"","123","","","",""
"","58","","","",""
"","135","","","",""
"","58","","","",""
"","58","","","",""
"","58","","","",""
"","58","","","",""
"","59","","","",""
"","56","","","",""
"","186","","","",""
"","59","","","",""
"","59","","","",""
"","59","","","",""
"","265","","","",""
"","53","","","",""
"","59","","","",""
"","271","","","",""
"","59","","","",""
"","142","","","",""
"","96","","","",""
"","83","","","",""
"","25","","","",""
"","60","","","",""
"","82","","","",""
"","186","","","",""
"","186","","","",""
"","60","","","",""
"","60","","","",""
"","26","","","",""
"","26","","","",""
"","26","","","",""
"","139","","","",""
"","60","","","",""
"","82","","","",""
"","1","","","",""
